Clue (6),ANSWER
 Uriah __ (4),HEEP
 Medal of Honor recipient (4),HERO
" ""My Own Private __"" (5)",IDAHO
 A day in March. May. July. or October (4),IDES
 Aviation pioneer Sikorsky (4),IGOR
 Shed light on (6),ILLUME
 Likeness (5),IMAGE
 Stick on a stick (6),IMPALE
 African peoples (6),INDABA
 Tax-deferred accts. (4),IRAS
 Camouflage-colored vehicles (5),JEEPS
 Prank (4),JEST
 Child or Roberts (5),JULIA
 Louis-Dreyfuss (5),JULIA
 US __ (sneaker name) (4),KEDS
 Make a stocking cap (4),KNIT
 Calf catcher (5),LASSO
 Like the White Rabbit of Wonderland (4),LATE
 Rubber-plant sap (5),LATEX
 Coffee shop order (5),LATTE
 __ the jungle (5),LAWOF
 Browse through (4),LEAF
 Jacob's first wife (4),LEAH
 Renault. once (5),LECAR
 Dirty look (4),LEER
 __ majesty (crime against the state) (4),LESE
 Hansen of NPR's Weekend Edition (5),LIANE
 Deceive (5),LIETO
 City north of Dayton (4),LIMA
 Graph starter (5),LITHO
 Goldbricks (5),LOAFS
 Part of S&L (4),LOAN
 River blockage (6),LOGJAM
" ""__. ma! No hands!"" (4)",LOOK
" Greene of ""Bonanza"" (5)",LORNE
 Type of moth (4),LUNA
 Scepter (4),MACE
 Civic org. (4),MADD
 Fridge decoration (6),MAGNET
 Straighten. as one's bed (4),MAKE
 Slander (6),MALIGN
 Lions' coifs (5),MANES
 Artist Chagall (4),MARC
 The Red Planet (4),MARS
 Mardi Gras wear (5),MASKS
 Harvard degs. (4),MBAS
 Average (4),MEAN
" Anne of ""Archie Bunker's Place"" (5)",MEARA
 Part of a group (6),MEMBER
 Spiteful remarks (5),MEOWS
 It's read by the gas man (5),METER
 Saw or wind ender (4),MILL
 Dice (5),MINCE
 Artistic themes (6),MOTIFS
 Makes faces at the camera (4),MUGS
 Arnold Schwarzenegger has a long one (4),NAME
 The __ of Islam (6),NATION
 Refusals. in short (4),NEGS
 Peter and Franco (5),NEROS
 Aerie (4),NEST
 Reno's state (6),NEVADA
 Most fashionable (6),NEWEST
 Duke or earl (5),NOBLE
" ""Blithe Spirit"" author Coward (4)",NOEL
